1,5203202.5,51,-4130481.25,101,2198752.75,151,-1109732.88,201,1157175.5,251,230220.33,301,-2722486.75,351,4442318.5
2,5180587,52,-3859556.5,102,1858148.5,152,-1092459.25,202,1087238.62,252,518067.41,302,-3191032,352,4507497.5
3,5254451,53,-3859395.25,103,1638002.5,153,-694849.44,203,570344.81,253,556918.5,303,-3269678.5,353,4766355
4,5041336.5,54,-3689075.75,104,1230810,154,-244640.27,204,166068.97,254,1064976.25,304,-3495982.5,354,4849081.5
5,5068700,55,-3559080.5,105,1098889.62,155,-61314.61,205,7453.7,255,1326266.12,305,-3555866,355,4831880.5
6,4775886,56,-3520163.75,106,905828.81,156,138671.94,206,-324292,256,1409153.25,306,-3579798.75,356,4841737
7,4631405.5,57,-3213722.75,107,605550.56,157,606315.62,207,-522831.31,257,1644060.12,307,-3888318.25,357,5058417.5
8,4440382,58,-2993925,108,471865.41,158,878227.31,208,-787856.94,258,1794360,308,-3841288,358,5021126
9,4314144,59,-2847064.5,109,95176.95,159,1094499.62,209,-1524426.38,259,2026966.88,309,-4178710.5,359,5366828
10,4254156.5,60,-2559341.25,110,-262504.31,160,1715620.38,210,-1472278.88,260,2246739.5,310,-4198714,360,5313251.5
11,4003684,61,-2372629.5,111,-322360.25,161,1868691.88,211,-1908066.88,261,2618800.75,311,-4218844.5,361,5135655.5
12,3722006,62,-2021418.12,112,-450422.72,162,2184409,212,-2218320,262,2566678.5,312,-4261801,362,5218752
13,3503164.25,63,-1956747.88,113,-793315.19,163,2356754.75,213,-2188345,263,2724362.25,313,-4210544.5,363,4983583
14,3444995.25,64,-1516182.12,114,-1201279.62,164,2767147.25,214,-2776610.75,264,2816613.5,314,-4179534.5,364,5165449.5
15,2892245,65,-1475062.25,115,-1398776.12,165,3129922,215,-2878556.5,265,2952558.25,315,-4198087,365,5132171.5
16,2737418.5,66,-1057768.88,116,-1760004.38,166,3211249,216,-3093958,266,2873518.75,316,-4082225,366,5056967
17,2469026,67,-894037.88,117,-1918716.88,167,3535574.25,217,-3354604.25,267,3148592.5,317,-3962623.75,367,4735639
18,2180680.75,68,-589774.56,118,-2134745.25,168,3796287,218,-3339770.75,268,3200482.25,318,-4074009.25,368,4558855.5
19,1849966.25,69,-466935.69,119,-2415994.75,169,3818761,219,-3600977.5,269,3107102.5,319,-3971806.75,369,4363140.5
20,1506462.75,70,-175140.23,120,-2465392.5,170,4393561.5,220,-3832537.5,270,3268799.5,320,-3713424.5,370,4117173
21,1283154.75,71,109706.59,121,-2816712.5,171,4401238,221,-3868456,271,3089548.5,321,-3588301.5,371,3917607.5
22,572608.44,72,373428.78,122,-3074347.75,172,4543759,222,-3864089,272,3088030.5,322,-3340146.75,372,3754556.5
23,740272.56,73,690646.38,123,-3470042.5,173,4581355,223,-4002888.75,273,3040768.5,323,-3336741.25,373,3449487.75
24,139539.62,74,998428.75,124,-3433911,174,4893894,224,-4055627.75,274,2920960.25,324,-3117186.25,374,3207745
25,-37356.56,75,1094395.75,125,-3615206.5,175,5043027,225,-4272923,275,2900040,325,-2917868.25,375,3045057.75
26,-631113.25,76,1573047,126,-3740217.5,176,4981887.5,226,-4194175.5,276,2745322,326,-2596867.5,376,2661193
27,-811618.5,77,1724273.5,127,-3957379,177,5182134.5,227,-4139288,277,2637550.75,327,-2392223.5,377,2475006.25
28,-1025968.38,78,1925968.75,128,-3983678.75,178,5201146.5,228,-4067634,278,2728902.5,328,-2189044,378,2195940.25
29,-1293420.38,79,1927249.75,129,-4009629.75,179,5221001.5,229,-4060126.25,279,2397309.5,329,-2063738.25,379,1877343.75
30,-1748946.25,80,2228143,130,-4200445,180,5140118,230,-4059603.5,280,2156995.25,330,-1542623.12,380,1573360.5
31,-1805477.75,81,2326931,131,-4246720.5,181,5209170,231,-4156183.25,281,2108779.5,331,-1155559.75,381,1338594.38
32,-2262905.5,82,2535181,132,-4074233.5,182,5316669,232,-3966802.25,282,1929437,332,-883421.12,382,858471.25
33,-2172666.75,83,2764493.25,133,-4157544.75,183,5118288,233,-3898356.25,283,1608257.5,333,-617304.5,383,666247.19
34,-2663387.5,84,2682576,134,-4335502.5,184,4920486,234,-3715344.5,284,1405892,334,-470316.75,384,275634.41
35,-3031099,85,2955579.75,135,-4315364,185,4919436.5,235,-3467281.25,285,1021698.38,335,25061.05,385,42614.12
36,-2957616.25,86,3020957.25,136,-4172571,186,4818165,236,-3545725.25,286,1084287.25,336,208446.27,386,-390838.56
37,-3198536.5,87,3121636.75,137,-3916382.75,187,4861684,237,-3105455,287,764714,337,654274.38,387,-620496.31
38,-3469832.5,88,3038135.5,138,-4024920.5,188,4689018.5,238,-3046212.75,288,446033.41,338,843246.44,388,-970286.56
39,-3587258.75,89,3094655,139,-3717979.5,189,4323278,239,-2827435,289,198005.06,339,1200331.88,389,-1322823.12
40,-3747757,90,3233125.5,140,-3644930.75,190,4198514,240,-2693752.25,290,-195491.12,340,1656798.38,390,-1524022.5
41,-3934569.75,91,3188334.75,141,-3598171.5,191,3960887.25,241,-2477321.75,291,-259665.34,341,1771020.62,391,-2014956.75
42,-3971803.25,92,3108901,142,-3379012.25,192,3715713,242,-2242224.25,292,-497488.34,342,2141950.25,392,-2046873.88
43,-4037627.25,93,2933991.25,143,-3201006.75,193,3576697,243,-1830911.38,293,-865552.44,343,2486927.75,393,-2466918.75
44,-4034861,94,2960194.75,144,-3218348.5,194,3363070.5,244,-1743016.12,294,-1143096.62,344,2665563,394,-2549180.5
45,-4359238,95,2773740,145,-2809680.5,195,2989945.25,245,-1350061.75,295,-1273754.5,345,2909974.25,395,-2677854.75
46,-4231653,96,2865291,146,-2501624.5,196,2707889.5,246,-1006546.62,296,-1540348.75,346,3078908,396,-3132812.75
47,-4248124,97,2701090.75,147,-2303316.25,197,2610089,247,-927298.81,297,-1888473.5,347,3552411.5,397,-3317049.5
48,-4154834.75,98,2491878.5,148,-2250768,198,2024680.62,248,-576086.25,298,-2157600.5,348,3781041.5,398,-3520173
49,-4010430,99,2282899,149,-1702500,199,1815425.88,249,-325442.75,299,-2443919.25,349,3964714.75,399,-3588896
50,-4152041,100,2426346.5,150,-1631660.88,200,1452092.75,250,-148245.39,300,-2587698.25,350,4176190.25,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,1,405.47,,,,,,,,,
,,,,,2,800.95,,,,,,,,,
,,,,,4,1529.05,,,,,,,,,
,,,,,6,2266.05,,,,,,,,,
,,,,,8,2925.05,,,,,,,,,